id	pregunta	ortografia	afi
108	Cuna	berce	ˈbɛɹs̺i̥
108	Llevar a cuestas	levar ó lombo	leˈβaɹ ɔ ˈlõmbo
108	Dar volteretas	dar tumbagatos	ˈdaɹ tũmbaˈxɑtos̺
108	Levadura	fermento	ɸoɹˈmẽntu̥
108	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tɐ̥s̺
109	Cadera	cadeira	kaˈðejɹa
109	Guisantes	chícharos	ˈt͡ʃit͡ʃaɾoʃ
109	Mariquita	cascarrubia	kaskaˈruβja
109	Lagartija	lagarta	laˈxʰaɹtɐ
109	Aguzanieves	lavandeira	laβãnˈdejɹɐ
109	Jabalí	porco bravo	ˈpɔɹko ˈβɾaβo
109	Cuna	berce	ˈbɛɾse
109	Llevar a cuestas	levar ás costas	leˈβaɹ as ˈkɔs̪tɐ̥ʃ
109	Dar volteretas	dar viracollóns	ˈdaɹ βiɾakoˈʎõnʃ
109	Levadura	fermento	ɸoɾˈmẽnto
109	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃakaɹˈnẽjɾoʃ
109	Lagartija	lagarta	laˈxʰɑɹtḁ
110	Cadera	cadera	kaˈðeɹa
110	Guisantes	chícharos	ˈt͡ʃit͡ʃaɹos̺
110	Mariquita	xoana	ʃuˈãna
110	Lagartija	lagartixa	laxʰaɹˈtiʃæ
110	Aguzanieves	lavandeira	laβãnˈdejɾ̥ḁ
110	Jabalí	cocho bravo	ˈkɔt͡ʃo̥ ˈβɾaβo
110	Cuna	berce	ˈbɛɹθe
110	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmbo
110	Dar volteretas	dar un pinchecarneiro	ˈdaɹ ũm pĩɲt͡ʃekaɹˈnɛ̃jɹo
110	Levadura	fermento	ɸõɾˈmẽnto̥
110	Guisantes	garavanzos	xʰaɹaˈβãnθos̺
111	Cuna	berce	ˈbɛɾθi̥
111	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmbo
111	Dar volteretas	dar pinchacarneiros	ˈdaɾ pĩɲt͡ʃakaɾˈnɛ̃jɾos̺
111	Guisantes	pericos	piˈɾikos̺
111	Mariquita	xoaniña	ʃuɐˈnĩɲɐ̃
111	Lagartija	lagartixa	laxaɹˈtiʃɐ
111	Aguzanieves	lavandeira	laβãnˈdɛjɹɐ
111	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
111	Cadera	cadeira	kaˈðɛjɹɐ
111	Levadura	fermento	foɾˈmẽnto
111	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tɐs̺
111	Guisantes	chícharos	ˈt͡ʃit͡ʃɐɾos̺
111	Guisantes	tirabeques	tiɾaˈβɛkes̺
112	Guisantes	chícharos	ˈt͡ʃit͡ʃaɾos̺
112	Mariquita	xoaniña	ʃuɐˈnĩɲæ
112	Lagartija	lagarta	laˈɣaɾta
112	Aguzanieves	lavandeira	laβãnˈdejɹa
112	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
112	Cadera	cadera	kaˈðeɹa
112	Cuna	berce	ˈbɛɾθe
112	Llevar a cuestas	levar o lombo	leˈβaɹ o ˈlõmbo
112	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃækaɾˈnẽjɾos̺
112	Levadura	fermento	ɸoɾˈmẽnto
112b	Cadera	cadeira	kaˈðejɹa
112b	Guisantes	chícharos	ˈt͡ʃit͡ʃɐɾos
112b	Mariquita	xoaniña	ʃuɐ̃ˈnĩɲɐ
112b	Lagartija	cádego	ˈkaðexo
112b	Aguzanieves	lavandeira	laβãnˈdɛjɹɐ
112b	Jabalí	porco bravo	ˈpoɹko ˈβɾaβo
112b	Cuna	berce	ˈbɛɹsi̥
112b	Llevar a cuestas	levar ó lombo	leˈβaɹ ɔ ˈlõmbo
112b	Dar volteretas	dar tombos de gato	ˈdaɹ ˈtõmboz̪ ðe ˈɣ̊atu̥
112b	Levadura	fermento	ɸoɾˈmẽntu̥
112b	Mariquita	cascarrubia	kɐskaˈruβjɐ
112b	Lagartija	cádego	ˈkɐðexo
113	Guisantes	chícharos	ˈt͡ʃit͡ʃaɾoʃ
113	Mariquita	xoaniña	ʃuãˈnĩɲã
113	Lagartija	NA	NA
113	Aguzanieves	lavandeira	laβãnˈdɛjɹa
113	Jabalí	jabalí	xʰɑβaˈli
113	Cadera	NA	NA
113	Cuna	berce	ˈbɛɹse
113	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmbo
113	Dar volteretas	dar tombos de gato	ˈdaɹ ˈtõmboz̪ ðe ˈxʰɑto
113	Levadura	fermento	ɸoɾˈmẽnto
114	Guisantes	garavanzos verdes	xʰaɾaˈβãnθoz̺ ˈβeɾðes̺
114	Mariquita	rei-rei	ˈrej ˈrej
114	Lagartija	lagartixa	laɣ̊aɹˈtiʃæ
114	Aguzanieves	lavandeira	laβãnˈdejɾa
114	Jabalí	cocho bravo	ˈkot͡ʃo ˈβɾaβo
114	Cadera	cadera	kaˈðeɾa
