anno	rey	palabra	lema	eagle	universal
1996	Juan Carlos I	Paz	paz	NCFS000	SUST
1996	Juan Carlos I	y	y	CC	CC
1996	Juan Carlos I	felicidad	felicidad	NCFS000	SUST
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	esperanza	esperanza	NCFS000	SUST
1996	Juan Carlos I	e	y	CC	CC
1996	Juan Carlos I	ilusión	ilusión	NCFS000	SUST
1996	Juan Carlos I	son	ser	VSIP3P0	AUX
1996	Juan Carlos I	los	el	DA0MP0	DET
1996	Juan Carlos I	deseos	deseo	NCMP000	SUST
1996	Juan Carlos I	que	que	PR0CN000	PRON
1996	Juan Carlos I	quisiera	querer	VMSI3S0	VERB
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	junto_con	junto_con	SPS00	PREP
1996	Juan Carlos I	mi	mi	DP1CSS	DET
1996	Juan Carlos I	familia	familia	NCFS000	SUST
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	transmitir	transmitir	VMN0000	VERB
1996	Juan Carlos I	os	os	PP2CP000	PRON
1996	Juan Carlos I	en	en	SPS00	PREP
1996	Juan Carlos I	este	este	DD0MS0	DET
1996	Juan Carlos I	tradicional	tradicional	AQ0CS0	ADJ
1996	Juan Carlos I	mensaje	mensaje	NCMS000	SUST
1996	Juan Carlos I	de	de	SPS00	PREP
1996	Juan Carlos I	la	el	DA0FS0	DET
1996	Juan Carlos I	noche	noche	NCFS000	SUST
1996	Juan Carlos I	de	de	SPS00	PREP
1996	Juan Carlos I	Navidad	navidad	NP00G00	NPRO
1996	Juan Carlos I	.	.	Fp	PUNT
1996	Juan Carlos I	Y	y	CC	CC
1996	Juan Carlos I	quisiera	querer	VMSI3S0	VERB
1996	Juan Carlos I	también	también	RG	ADV
1996	Juan Carlos I	hablar	hablar	VMN0000	VERB
1996	Juan Carlos I	os	os	PP2CP000	PRON
1996	Juan Carlos I	de	de	SPS00	PREP
1996	Juan Carlos I	nosotros	nosotros	PP1MP000	PRON
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	los	el	DA0MP0	DET
1996	Juan Carlos I	españoles	español	NCMP000	SUST
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	y	y	CC	CC
1996	Juan Carlos I	de	de	SPS00	PREP
1996	Juan Carlos I	lo	el	DA0NS0	DET
1996	Juan Carlos I	que	que	PR0CN000	PRON
1996	Juan Carlos I	nos	nos	PP1CP000	PRON
1996	Juan Carlos I	afecta	afectar	VMIP3S0	VERB
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	de	de	SPS00	PREP
1996	Juan Carlos I	las	el	DA0FP0	DET
1996	Juan Carlos I	cosas	cosa	NCFP000	SUST
1996	Juan Carlos I	de	de	SPS00	PREP
1996	Juan Carlos I	España	españa	NP00G00	NPRO
1996	Juan Carlos I	.	.	Fp	PUNT
1996	Juan Carlos I	Llevamos	llevar	VMIP1P0	VERB
1996	Juan Carlos I	prácticamente	prácticamente	RG	ADV
1996	Juan Carlos I	una	uno	DI0FS0	DET
1996	Juan Carlos I	generación	generación	NCFS000	SUST
1996	Juan Carlos I	viviendo	vivir	VMG0000	VERB
1996	Juan Carlos I	en	en	SPS00	PREP
1996	Juan Carlos I	una	uno	DI0FS0	DET
1996	Juan Carlos I	democracia	democracia	NCFS000	SUST
1996	Juan Carlos I	social	social	AQ0CS0	ADJ
1996	Juan Carlos I	y	y	CC	CC
1996	Juan Carlos I	representativa	representativo	AQ0FS0	ADJ
1996	Juan Carlos I	que	que	PR0CN000	PRON
1996	Juan Carlos I	organiza	organizar	VMIP3S0	VERB
1996	Juan Carlos I	nuestra	nuestro	DP1FSP	DET
1996	Juan Carlos I	convivencia	convivencia	NCFS000	SUST
1996	Juan Carlos I	en	en	SPS00	PREP
1996	Juan Carlos I	armonía	armonía	NCFS000	SUST
1996	Juan Carlos I	y	y	CC	CC
1996	Juan Carlos I	libertad	libertad	NCFS000	SUST
1996	Juan Carlos I	.	.	Fp	PUNT
1996	Juan Carlos I	Basta	bastar	VMIP3S0	VERB
1996	Juan Carlos I	una	uno	DI0FS0	DET
1996	Juan Carlos I	mirada	mirada	NCFS000	SUST
1996	Juan Carlos I	hacia	hacia	SPS00	PREP
1996	Juan Carlos I	atrás	atrás	RG	ADV
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	hacia	hacia	SPS00	PREP
1996	Juan Carlos I	nuestro	nuestro	DP1MSP	DET
1996	Juan Carlos I	pasado	pasado	NCMS000	SUST
1996	Juan Carlos I	,	,	Fc	PUNT
1996	Juan Carlos I	para	para	SPS00	PREP
1996	Juan Carlos I	que	que	CS	CS
1996	Juan Carlos I	comprendamos	comprender	VMSP1P0	VERB
1996	Juan Carlos I	hasta	hasta	SPS00	PREP
1996	Juan Carlos I	qué	qué	DT0CN0	DET
1996	Juan Carlos I	punto	punto	NCMS000	SUST
1996	Juan Carlos I	debemos	deber	VMIP1P0	VERB
1996	Juan Carlos I	valorar	valorar	VMN0000	VERB
1996	Juan Carlos I	el	el	DA0MS0	DET
1996	Juan Carlos I	camino	camino	NCMS000	SUST
1996	Juan Carlos I	recorrido	recorrer	VMP00SM	VERB
1996	Juan Carlos I	y	y	CC	CC
1996	Juan Carlos I	las	el	DA0FP0	DET
1996	Juan Carlos I	metas	meta	NCFP000	SUST
1996	Juan Carlos I	alcanzadas	alcanzar	VMP00PF	VERB
1996	Juan Carlos I	.	.	Fp	PUNT
1996	Juan Carlos I	La	el	DA0FS0	DET
1996	Juan Carlos I	sociedad	sociedad	NCFS000	SUST
1996	Juan Carlos I	española	español	AQ0FS0	ADJ
1996	Juan Carlos I	hoy	hoy	RG	ADV
1996	Juan Carlos I	es	ser	VSIP3S0	AUX
1996	Juan Carlos I	una	uno	DI0FS0	DET
1996	Juan Carlos I	sociedad	sociedad	NCFS000	SUST
1996	Juan Carlos I	que	que	PR0CN000	PRON
1996	Juan Carlos I	estimula	estimular	VMIP3S0	VERB
1996	Juan Carlos I	la	el	DA0FS0	DET
