anno	rey	palabra	lema	eagle	universal
1998	Juan Carlos I	En	en	SPS00	PREP
1998	Juan Carlos I	la	el	DA0FS0	DET
1998	Juan Carlos I	noche	noche	NCFS000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	Navidad	navidad	NP00G00	NPRO
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	que	que	PR0CN000	PRON
1998	Juan Carlos I	evoca	evocar	VMIP3S0	VERB
1998	Juan Carlos I	especiales	especial	AQ0CP0	ADJ
1998	Juan Carlos I	sentimientos	sentimiento	NCMP000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	alegría	alegría	NCFS000	SUST
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	paz	paz	NCFS000	SUST
1998	Juan Carlos I	y	y	CC	CC
1998	Juan Carlos I	fraternidad	fraternidad	NCFS000	SUST
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	me	me	PP1CS000	PRON
1998	Juan Carlos I	dirijo	dirigir	VMIP1S0	VERB
1998	Juan Carlos I	a	a	SPS00	PREP
1998	Juan Carlos I	vosotros	vosotros	PP2MP000	PRON
1998	Juan Carlos I	para	para	SPS00	PREP
1998	Juan Carlos I	felicitar	felicitar	VMN0000	VERB
1998	Juan Carlos I	os	os	PP2CP000	PRON
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	junto_con	junto_con	SPS00	PREP
1998	Juan Carlos I	mi	mi	DP1CSS	DET
1998	Juan Carlos I	familia	familia	NCFS000	SUST
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	en	en	SPS00	PREP
1998	Juan Carlos I	estas	este	DD0FP0	DET
1998	Juan Carlos I	fiestas	fiesta	NCFP000	SUST
1998	Juan Carlos I	y	y	CC	CC
1998	Juan Carlos I	desear	desear	VMN0000	VERB
1998	Juan Carlos I	os	os	PP2CP000	PRON
1998	Juan Carlos I	para	para	SPS00	PREP
1998	Juan Carlos I	el	el	DA0MS0	DET
1998	Juan Carlos I	año	año	NCMS000	SUST
1998	Juan Carlos I	próximo	próximo	AQ0MS0	ADJ
1998	Juan Carlos I	todo	todo	DI0MS0	DET
1998	Juan Carlos I	lo	el	DA0NS0	DET
1998	Juan Carlos I	mejor	mejor	AQ0CS0	ADJ
1998	Juan Carlos I	.	.	Fp	PUNT
1998	Juan Carlos I	Como	como	CS	CS
1998	Juan Carlos I	siempre	siempre	RG	ADV
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	quiero	querer	VMIP1S0	VERB
1998	Juan Carlos I	también	también	RG	ADV
1998	Juan Carlos I	trasladar	trasladar	VMN0000	VERB
1998	Juan Carlos I	os	os	PP2CP000	PRON
1998	Juan Carlos I	algunas	alguno	DI0FP0	DET
1998	Juan Carlos I	reflexiones	reflexión	NCFP000	SUST
1998	Juan Carlos I	y	y	CC	CC
1998	Juan Carlos I	deseos	deseo	NCMP000	SUST
1998	Juan Carlos I	que	que	PR0CN000	PRON
1998	Juan Carlos I	cobran	cobrar	VMIP3P0	VERB
1998	Juan Carlos I	especial	especial	AQ0CS0	ADJ
1998	Juan Carlos I	significado	significado	NCMS000	SUST
1998	Juan Carlos I	en	en	SPS00	PREP
1998	Juan Carlos I	estas	este	DD0FP0	DET
1998	Juan Carlos I	fechas	fecha	NCFP000	SUST
1998	Juan Carlos I	y	y	CC	CC
1998	Juan Carlos I	que	que	PR0CN000	PRON
1998	Juan Carlos I	me	me	PP1CS000	PRON
1998	Juan Carlos I	gustaría	gustar	VMIC3S0	VERB
1998	Juan Carlos I	compartir	compartir	VMN0000	VERB
1998	Juan Carlos I	con	con	SPS00	PREP
1998	Juan Carlos I	vosotros	vosotros	PP2MP000	PRON
1998	Juan Carlos I	.	.	Fp	PUNT
1998	Juan Carlos I	Hace	hacer	VMIP3S0	VERB
1998	Juan Carlos I	unos	uno	DI0MP0	DET
1998	Juan Carlos I	días	día	NCMP000	SUST
1998	Juan Carlos I	se	se	P00CN000	PRON
1998	Juan Carlos I	ha	haber	VAIP3S0	AUX
1998	Juan Carlos I	cumplido	cumplir	VMP00SM	VERB
1998	Juan Carlos I	el	el	DA0MS0	DET
1998	Juan Carlos I	vigésimo	20	AO0MS0	ADJ
1998	Juan Carlos I	aniversario	aniversario	NCMS000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	la	el	DA0FS0	DET
1998	Juan Carlos I	aprobación	aprobación	NCFS000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	la	el	DA0FS0	DET
1998	Juan Carlos I	Constitución	constitución	NP00V00	NPRO
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	nacida	nacer	VMP00SF	VERB
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	la	el	DA0FS0	DET
1998	Juan Carlos I	voluntad	voluntad	NCFS000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	el	el	DA0MS0	DET
1998	Juan Carlos I	pueblo	pueblo	NCMS000	SUST
1998	Juan Carlos I	español	español	AQ0MS0	ADJ
1998	Juan Carlos I	a_través_de	a_través_de	SPS00	PREP
1998	Juan Carlos I	un	uno	DI0MS0	DET
1998	Juan Carlos I	amplio	amplio	AQ0MS0	ADJ
1998	Juan Carlos I	consenso	consenso	NCMS000	SUST
1998	Juan Carlos I	alcanzado	alcanzar	VMP00SM	VERB
1998	Juan Carlos I	por	por	SPS00	PREP
1998	Juan Carlos I	sus	su	DP3CP0	DET
1998	Juan Carlos I	representantes	representante	NCCP000	SUST
1998	Juan Carlos I	con	con	SPS00	PREP
1998	Juan Carlos I	espíritu	espíritu	NCMS000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	conciliación	conciliación	NCFS000	SUST
1998	Juan Carlos I	y	y	CC	CC
1998	Juan Carlos I	altura	altura	NCFS000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	miras	mira	NCFP000	SUST
1998	Juan Carlos I	.	.	Fp	PUNT
1998	Juan Carlos I	El	el	DA0MS0	DET
1998	Juan Carlos I	tiempo	tiempo	NCMS000	SUST
1998	Juan Carlos I	transcurrido	transcurrir	VMP00SM	VERB
1998	Juan Carlos I	prueba	prueba	NCFS000	SUST
1998	Juan Carlos I	sobradamente	sobradamente	RG	ADV
1998	Juan Carlos I	la	el	DA0FS0	DET
1998	Juan Carlos I	validez	validez	NCFS000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	esta	este	DD0FS0	DET
1998	Juan Carlos I	Constitución	constitución	NP00V00	NPRO
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	la	el	DA0FS0	DET
1998	Juan Carlos I	concordia	concordia	NCFS000	SUST
1998	Juan Carlos I	.	.	Fp	PUNT
1998	Juan Carlos I	En	en	SPS00	PREP
1998	Juan Carlos I	sus	su	DP3CP0	DET
1998	Juan Carlos I	disposiciones	disposición	NCFP000	SUST
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	se	se	P00CN000	PRON
1998	Juan Carlos I	consolidan	consolidar	VMIP3P0	VERB
1998	Juan Carlos I	en	en	SPS00	PREP
1998	Juan Carlos I	la	el	DA0FS0	DET
1998	Juan Carlos I	práctica	práctica	NCFS000	SUST
1998	Juan Carlos I	los	el	DA0MP0	DET
1998	Juan Carlos I	principios	principio	NCMP000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	el	el	DA0MS0	DET
1998	Juan Carlos I	Estado_de_Derecho	estado_de_derecho	NP00O00	NPRO
1998	Juan Carlos I	,	,	Fc	PUNT
1998	Juan Carlos I	se	se	P00CN000	PRON
1998	Juan Carlos I	ensancha	ensanchar	VMIP3S0	VERB
1998	Juan Carlos I	el	el	DA0MS0	DET
1998	Juan Carlos I	marco	marco	NCMS000	SUST
1998	Juan Carlos I	amplísimo	amplio	AQSMS0	ADJ
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	libertades	libertad	NCFP000	SUST
1998	Juan Carlos I	de	de	SPS00	PREP
1998	Juan Carlos I	que	que	PR0CN000	PRON
1998	Juan Carlos I	disfrutan	disfrutar	VMIP3P0	VERB
