anno	rey	palabra	lema	eagle	universal
2017	Felipe VI	Buenas	bueno	AQ0FP0	ADJ
2017	Felipe VI	noches	noche	NCFP000	SUST
2017	Felipe VI	,	,	Fc	PUNT
2017	Felipe VI	Me	me	PP1CS000	PRON
2017	Felipe VI	dirijo	dirigir	VMIP1S0	VERB
2017	Felipe VI	a	a	SPS00	PREP
2017	Felipe VI	todos	todo	DI0MP0	DET
2017	Felipe VI	vosotros	vosotros	PP2MP000	PRON
2017	Felipe VI	para	para	SPS00	PREP
2017	Felipe VI	felicitar	felicitar	VMN0000	VERB
2017	Felipe VI	os	os	PP2CP000	PRON
2017	Felipe VI	la	el	DA0FS0	DET
2017	Felipe VI	Navidad	navidad	NP00O00	NPRO
2017	Felipe VI	y	y	CC	CC
2017	Felipe VI	transmitir	transmitir	VMN0000	VERB
2017	Felipe VI	os	os	PP2CP000	PRON
2017	Felipe VI	junto_a	junto_a	SPS00	PREP
2017	Felipe VI	la	el	DA0FS0	DET
2017	Felipe VI	Reina	reina	NP00SP0	NPRO
2017	Felipe VI	,	,	Fc	PUNT
2017	Felipe VI	la	el	DA0FS0	DET
2017	Felipe VI	Princesa_de_Asturias	princesa_de_asturias	NP00O00	NPRO
2017	Felipe VI	y	y	CC	CC
2017	Felipe VI	la	el	DA0FS0	DET
2017	Felipe VI	Infanta_Sofía	infanta_sofía	NP00O00	NPRO
2017	Felipe VI	nuestros	nuestro	DP1MPP	DET
2017	Felipe VI	mejores	mejor	AQ0CP0	ADJ
2017	Felipe VI	deseos	deseo	NCMP000	SUST
2017	Felipe VI	para	para	SPS00	PREP
2017	Felipe VI	el	el	DA0MS0	DET
2017	Felipe VI	año	año	NCMS000	SUST
2017	Felipe VI	2018	2018	Z	Z
2017	Felipe VI	.	.	Fp	PUNT
2017	Felipe VI	Y	y	CC	CC
2017	Felipe VI	os	os	PP2CP000	PRON
2017	Felipe VI	agradezco	agradecer	VMIP1S0	VERB
2017	Felipe VI	que	que	CS	CS
2017	Felipe VI	en	en	SPS00	PREP
2017	Felipe VI	esta	este	DD0FS0	DET
