anno	rey	palabra	lema	eagle	universal
1990	Juan Carlos I	Hace	hacer	VMIP3S0	VERB
1990	Juan Carlos I	un	uno	DI0MS0	DET
1990	Juan Carlos I	año	año	NCMS000	SUST
1990	Juan Carlos I	me	me	PP1CS000	PRON
1990	Juan Carlos I	dirigí	dirigir	VMIS1S0	VERB
1990	Juan Carlos I	a	a	SPS00	PREP
1990	Juan Carlos I	vosotros	vosotros	PP2MP000	PRON
1990	Juan Carlos I	con_ocasión_de	con_ocasión_de	SPS00	PREP
1990	Juan Carlos I	las	el	DA0FP0	DET
1990	Juan Carlos I	anteriores	anterior	AQ0CP0	ADJ
1990	Juan Carlos I	fiestas	fiesta	NCFP000	SUST
1990	Juan Carlos I	de	de	SPS00	PREP
1990	Juan Carlos I	navidad	navidad	NCFS000	SUST
1990	Juan Carlos I	,	,	Fc	PUNT
1990	Juan Carlos I	y	y	CC	CC
1990	Juan Carlos I	me	me	PP1CS000	PRON
1990	Juan Carlos I	atrevería	atrever	VMIC3S0	VERB
1990	Juan Carlos I	a	a	SPS00	PREP
1990	Juan Carlos I	decir	decir	VMN0000	VERB
1990	Juan Carlos I	que	que	CS	CS
1990	Juan Carlos I	en	en	SPS00	PREP
1990	Juan Carlos I	este	este	DD0MS0	DET
1990	Juan Carlos I	breve	breve	AQ0CS0	ADJ
1990	Juan Carlos I	lapso	lapso	NCMS000	SUST
1990	Juan Carlos I	de	de	SPS00	PREP
1990	Juan Carlos I	tiempo	tiempo	NCMS000	SUST
1990	Juan Carlos I	se	se	P00CN000	PRON
1990	Juan Carlos I	han	haber	VAIP3P0	AUX
1990	Juan Carlos I	producido	producir	VMP00SM	VERB
1990	Juan Carlos I	tantos	tanto	DI0MP0	DET
1990	Juan Carlos I	acontecimientos	acontecimiento	NCMP000	SUST
1990	Juan Carlos I	y	y	CC	CC
1990	Juan Carlos I	tantas	tanto	DI0FP0	DET
1990	Juan Carlos I	novedades	novedad	NCFP000	SUST
1990	Juan Carlos I	en	en	SPS00	PREP
1990	Juan Carlos I	el	el	DA0MS0	DET
1990	Juan Carlos I	mundo	mundo	NCMS000	SUST
1990	Juan Carlos I	como	como	CS	CS
1990	Juan Carlos I	durante	durante	SPS00	PREP
1990	Juan Carlos I	las	el	DA0FP0	DET
1990	Juan Carlos I	últimas	último	AO0FP0	ADJ
1990	Juan Carlos I	décadas	década	NCFP000	SUST
1990	Juan Carlos I	.	.	Fp	PUNT
1990	Juan Carlos I	Ha	haber	VAIP3S0	AUX
1990	Juan Carlos I	sido	ser	VSP00SM	AUX
1990	Juan Carlos I	,	,	Fc	PUNT
1990	Juan Carlos I	precisamente	precisamente	RG	ADV
1990	Juan Carlos I	,	,	Fc	PUNT
1990	Juan Carlos I	la	el	DA0FS0	DET
1990	Juan Carlos I	fuerza	fuerza	NCFS000	SUST
1990	Juan Carlos I	incontenible	incontenible	AQ0CS0	ADJ
1990	Juan Carlos I	con	con	SPS00	PREP
1990	Juan Carlos I	que	que	PR0CN000	PRON
1990	Juan Carlos I	emergen	emerger	VMIP3P0	VERB
1990	Juan Carlos I	los	el	DA0MP0	DET
1990	Juan Carlos I	deseos	deseo	NCMP000	SUST
1990	Juan Carlos I	de	de	SPS00	PREP
1990	Juan Carlos I	libertad	libertad	NCFS000	SUST
1990	Juan Carlos I	de	de	SPS00	PREP
1990	Juan Carlos I	los	el	DA0MP0	DET
1990	Juan Carlos I	hombres	hombre	NCMP000	SUST
1990	Juan Carlos I	la	el	DA0FS0	DET
1990	Juan Carlos I	que	que	PR0CN000	PRON
1990	Juan Carlos I	ha	haber	VAIP3S0	AUX
1990	Juan Carlos I	provocado	provocar	VMP00SM	VERB
1990	Juan Carlos I	que	que	CS	CS
1990	Juan Carlos I	sistemas	sistema	NCMP000	SUST
1990	Juan Carlos I	que	que	PR0CN000	PRON
1990	Juan Carlos I	parecían	parecer	VMII3P0	VERB
1990	Juan Carlos I	inconmovibles	inconmovible	AQ0CP0	ADJ
1990	Juan Carlos I	se	se	P00CN000	PRON
1990	Juan Carlos I	hayan	haber	VASP3P0	AUX
1990	Juan Carlos I	venido	venir	VMP00SM	VERB
1990	Juan Carlos I	abajo	abajo	RG	ADV
1990	Juan Carlos I	con	con	SPS00	PREP
