anno	rey	palabra	lema	eagle	universal
1997	Juan Carlos I	En	en	SPS00	PREP
1997	Juan Carlos I	estos	este	DD0MP0	DET
1997	Juan Carlos I	momentos	momento	NCMP000	SUST
1997	Juan Carlos I	en	en	SPS00	PREP
1997	Juan Carlos I	los	el	DA0MP0	DET
1997	Juan Carlos I	que	que	PR0CN000	PRON
1997	Juan Carlos I	nos	nos	PP1CP000	PRON
1997	Juan Carlos I	disponemos	disponer	VMIP1P0	VERB
1997	Juan Carlos I	a	a	SPS00	PREP
1997	Juan Carlos I	celebrar	celebrar	VMN0000	VERB
1997	Juan Carlos I	la	el	DA0FS0	DET
1997	Juan Carlos I	Nochebuena	nochebuena	NP00O00	NPRO
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	deseo	desear	VMIP1S0	VERB
1997	Juan Carlos I	felicitar	felicitar	VMN0000	VERB
1997	Juan Carlos I	os	os	PP2CP000	PRON
1997	Juan Carlos I	las	el	DA0FP0	DET
1997	Juan Carlos I	Pascuas	pascuas	NP00V00	NPRO
1997	Juan Carlos I	en	en	SPS00	PREP
1997	Juan Carlos I	mi	mi	DP1CSS	DET
1997	Juan Carlos I	nombre	nombre	NCMS000	SUST
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	en	en	SPS00	PREP
1997	Juan Carlos I	el	el	DA0MS0	DET
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	toda	todo	DI0FS0	DET
1997	Juan Carlos I	mi	mi	DP1CSS	DET
1997	Juan Carlos I	familia	familia	NCFS000	SUST
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	transmitir	transmitir	VMN0000	VERB
1997	Juan Carlos I	os	os	PP2CP000	PRON
1997	Juan Carlos I	un	uno	DI0MS0	DET
1997	Juan Carlos I	mensaje	mensaje	NCMS000	SUST
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	paz	paz	NCFS000	SUST
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	ilusión	ilusión	NCFS000	SUST
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	esperanza	esperanza	NCFS000	SUST
1997	Juan Carlos I	.	.	Fp	PUNT
1997	Juan Carlos I	A_el_calor_de	al_calor_de	SPS00	PREP
1997	Juan Carlos I	los	el	DA0MP0	DET
1997	Juan Carlos I	recuerdos	recuerdo	NCMP000	SUST
1997	Juan Carlos I	familiares	familiar	AQ0CP0	ADJ
1997	Juan Carlos I	que	que	PR0CN000	PRON
1997	Juan Carlos I	se	se	P00CN000	PRON
1997	Juan Carlos I	avivan	avivar	VMIP3P0	VERB
1997	Juan Carlos I	en	en	SPS00	PREP
1997	Juan Carlos I	estas	este	DD0FP0	DET
1997	Juan Carlos I	fechas	fecha	NCFP000	SUST
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	os	os	PP2CP000	PRON
1997	Juan Carlos I	agradecemos	agradecer	VMIP1P0	VERB
1997	Juan Carlos I	una	uno	DI0FS0	DET
1997	Juan Carlos I	vez	vez	NCFS000	SUST
1997	Juan Carlos I	más	más	RG	ADV
1997	Juan Carlos I	las	el	DA0FP0	DET
1997	Juan Carlos I	muestras	muestra	NCFP000	SUST
1997	Juan Carlos I	constantes	constante	AQ0CP0	ADJ
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	afecto	afecto	NCMS000	SUST
1997	Juan Carlos I	que	que	PR0CN000	PRON
1997	Juan Carlos I	la	el	DA0FS0	DET
1997	Juan Carlos I	Familia_Real	familia_real	NP00O00	NPRO
1997	Juan Carlos I	recibe	recibir	VMIP3S0	VERB
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	manera	manera	NCFS000	SUST
1997	Juan Carlos I	muy	muy	RG	ADV
1997	Juan Carlos I	especial	especial	AQ0CS0	ADJ
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	con	con	SPS00	PREP
1997	Juan Carlos I	motivo	motivo	NCMS000	SUST
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	el	el	DA0MS0	DET
1997	Juan Carlos I	matrimonio	matrimonio	NCMS000	SUST
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	la	el	DA0FS0	DET
1997	Juan Carlos I	Infanta_Cristina	infanta_cristina	NP00O00	NPRO
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	correspondemos	corresponder	VMIP1P0	VERB
1997	Juan Carlos I	a	a	SPS00	PREP
1997	Juan Carlos I	vuestros	vuestro	DP2MPP	DET
1997	Juan Carlos I	espontáneos	espontáneo	AQ0MP0	ADJ
1997	Juan Carlos I	sentimientos	sentimiento	NCMP000	SUST
1997	Juan Carlos I	con	con	SPS00	PREP
1997	Juan Carlos I	los	el	DA0MP0	DET
1997	Juan Carlos I	nuestros	nuestro	PX1MP0P0	PRON
1997	Juan Carlos I	más	más	RG	ADV
1997	Juan Carlos I	cordiales	cordial	AQ0CP0	ADJ
1997	Juan Carlos I	.	.	Fp	PUNT
1997	Juan Carlos I	En	en	SPS00	PREP
1997	Juan Carlos I	un	uno	DI0MS0	DET
1997	Juan Carlos I	breve	breve	AQ0CS0	ADJ
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	rápido	rápido	AQ0MS0	ADJ
1997	Juan Carlos I	repaso	repaso	NCMS000	SUST
1997	Juan Carlos I	a	a	SPS00	PREP
1997	Juan Carlos I	el	el	DA0MS0	DET
1997	Juan Carlos I	año	año	NCMS000	SUST
1997	Juan Carlos I	que	que	PR0CN000	PRON
1997	Juan Carlos I	termina	terminar	VMIP3S0	VERB
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	encontramos	encontrar	VMIP1P0	VERB
1997	Juan Carlos I	motivos	motivo	NCMP000	SUST
1997	Juan Carlos I	evidentes	evidente	AQ0CP0	ADJ
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	satisfacción	satisfacción	NCFS000	SUST
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	también	también	RG	ADV
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	reflexión	reflexión	NCFS000	SUST
1997	Juan Carlos I	para	para	SPS00	PREP
1997	Juan Carlos I	el	el	DA0MS0	DET
1997	Juan Carlos I	porvenir	porvenir	NCMS000	SUST
1997	Juan Carlos I	.	.	Fp	PUNT
1997	Juan Carlos I	Durante	durante	SPS00	PREP
1997	Juan Carlos I	1997	1997	Z	Z
1997	Juan Carlos I	España	españa	NP00G00	NPRO
1997	Juan Carlos I	ha	haber	VAIP3S0	AUX
1997	Juan Carlos I	tenido	tener	VMP00SM	VERB
1997	Juan Carlos I	la	el	DA0FS0	DET
1997	Juan Carlos I	estabilidad	estabilidad	NCFS000	SUST
1997	Juan Carlos I	política	político	AQ0FS0	ADJ
1997	Juan Carlos I	que	que	PR0CN000	PRON
1997	Juan Carlos I	se	se	P00CN000	PRON
1997	Juan Carlos I	requiere	requerir	VMIP3S0	VERB
1997	Juan Carlos I	para	para	SPS00	PREP
1997	Juan Carlos I	seguir	seguir	VMN0000	VERB
1997	Juan Carlos I	asentando	asentar	VMG0000	VERB
1997	Juan Carlos I	las	el	DA0FP0	DET
1997	Juan Carlos I	bases	base	NCCP000	SUST
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	su	su	DP3CS0	DET
1997	Juan Carlos I	bienestar	bienestar	NCMS000	SUST
1997	Juan Carlos I	.	.	Fp	PUNT
1997	Juan Carlos I	La	el	DA0FS0	DET
1997	Juan Carlos I	economía	economía	NCFS000	SUST
1997	Juan Carlos I	española	español	AQ0FS0	ADJ
1997	Juan Carlos I	ha	haber	VAIP3S0	AUX
1997	Juan Carlos I	seguido	seguir	VMP00SM	VERB
1997	Juan Carlos I	experimentando	experimentar	VMG0000	VERB
1997	Juan Carlos I	un	uno	DI0MS0	DET
1997	Juan Carlos I	crecimiento	crecimiento	NCMS000	SUST
1997	Juan Carlos I	sostenido	sostener	VMP00SM	VERB
1997	Juan Carlos I	;	;	Fx	PUNT
1997	Juan Carlos I	los	el	DA0MP0	DET
1997	Juan Carlos I	interlocutores	interlocutor	NCMP000	SUST
1997	Juan Carlos I	sociales	social	AQ0CP0	ADJ
1997	Juan Carlos I	han	haber	VAIP3P0	AUX
1997	Juan Carlos I	mantenido	mantener	VMP00SM	VERB
1997	Juan Carlos I	un	uno	DI0MS0	DET
1997	Juan Carlos I	proceso	proceso	NCMS000	SUST
1997	Juan Carlos I	fluido	fluir	VMP00SM	VERB
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	comunicación	comunicación	NCFS000	SUST
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	diálogo	diálogo	NCMS000	SUST
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	y	y	CC	CC
1997	Juan Carlos I	han	haber	VAIP3P0	AUX
1997	Juan Carlos I	alcanzado	alcanzar	VMP00SM	VERB
1997	Juan Carlos I	acuerdos	acuerdo	NCMP000	SUST
1997	Juan Carlos I	positivos	positivo	AQ0MP0	ADJ
1997	Juan Carlos I	para	para	SPS00	PREP
1997	Juan Carlos I	la	el	DA0FS0	DET
1997	Juan Carlos I	buena	bueno	AQ0FS0	ADJ
1997	Juan Carlos I	marcha	marcha	NCFS000	SUST
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	el	el	DA0MS0	DET
1997	Juan Carlos I	país	país	NCMS000	SUST
1997	Juan Carlos I	.	.	Fp	PUNT
1997	Juan Carlos I	Sin	sin	SPS00	PREP
1997	Juan Carlos I	embargo	embargo	NCMS000	SUST
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	no	no	RN	RN
1997	Juan Carlos I	faltan	faltar	VMIP3P0	VERB
1997	Juan Carlos I	en	en	SPS00	PREP
1997	Juan Carlos I	nuestra	nuestro	DP1FSP	DET
1997	Juan Carlos I	vida	vida	NCFS000	SUST
1997	Juan Carlos I	nacional	nacional	AQ0CS0	ADJ
1997	Juan Carlos I	tensiones	tensión	NCFP000	SUST
1997	Juan Carlos I	,	,	Fc	PUNT
1997	Juan Carlos I	que	que	PR0CN000	PRON
1997	Juan Carlos I	hemos	haber	VMIP1P0	VERB
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	comprender	comprender	VMN0000	VERB
1997	Juan Carlos I	como	como	CS	CS
1997	Juan Carlos I	reflejo	reflejo	NCMS000	SUST
1997	Juan Carlos I	natural	natural	AQ0CS0	ADJ
1997	Juan Carlos I	de	de	SPS00	PREP
1997	Juan Carlos I	el	el	DA0MS0	DET
1997	Juan Carlos I	pluralismo	pluralismo	NCMS000	SUST
1997	Juan Carlos I	político	político	AQ0MS0	ADJ
1997	Juan Carlos I	inherente	inherente	AQ0CS0	ADJ
1997	Juan Carlos I	a	a	SPS00	PREP
