anno	rey	palabra	lema	eagle	universal
2015	Felipe VI	Buenas	bueno	AQ0FP0	ADJ
2015	Felipe VI	noches	noche	NCFP000	SUST
2015	Felipe VI	,	,	Fc	PUNT
2015	Felipe VI	En	en	SPS00	PREP
2015	Felipe VI	esta	este	DD0FS0	DET
2015	Felipe VI	nochebuena	nochebuena	NCFS000	SUST
2015	Felipe VI	,	,	Fc	PUNT
2015	Felipe VI	quiero	querer	VMIP1S0	VERB
2015	Felipe VI	especialmente	especialmente	RG	ADV
2015	Felipe VI	desear	desear	VMN0000	VERB
2015	Felipe VI	os	os	PP2CP000	PRON
2015	Felipe VI	junto_a	junto_a	SPS00	PREP
2015	Felipe VI	la	el	DA0FS0	DET
2015	Felipe VI	Reina	reina	NP00SP0	NPRO
2015	Felipe VI	y	y	CC	CC
2015	Felipe VI	nuestras	nuestro	DP1FPP	DET
2015	Felipe VI	hijas	hijo	NCFP000	SUST
2015	Felipe VI	,	,	Fc	PUNT
2015	Felipe VI	la	el	DA0FS0	DET
2015	Felipe VI	Princesa_Leonor	princesa_leonor	NP00O00	NPRO
2015	Felipe VI	y	y	CC	CC
2015	Felipe VI	la	el	DA0FS0	DET
2015	Felipe VI	Infanta_Sofía	infanta_sofía	NP00SP0	NPRO
2015	Felipe VI	,	,	Fc	PUNT
2015	Felipe VI	unas	uno	DI0FP0	DET
2015	Felipe VI	muy	muy	RG	ADV
2015	Felipe VI	felices	feliz	AQ0CP0	ADJ
2015	Felipe VI	fiestas	fiesta	NCFP000	SUST
2015	Felipe VI	y	y	CC	CC
2015	Felipe VI	todo	todo	PI0MS000	PRON
2015	Felipe VI	lo	lo	PP3CNA00	PRON
2015	Felipe VI	mejor	mejor	AQ0CS0	ADJ
2015	Felipe VI	para	para	SPS00	PREP
2015	Felipe VI	el	el	DA0MS0	DET
2015	Felipe VI	año	año	NCMS000	SUST
2015	Felipe VI	nuevo	nuevo	AQ0MS0	ADJ
2015	Felipe VI	.	.	Fp	PUNT
2015	Felipe VI	Desearía	desear	VMIC3S0	VERB
2015	Felipe VI	también	también	RG	ADV
2015	Felipe VI	que	que	CS	CS
2015	Felipe VI	la	el	DA0FS0	DET
2015	Felipe VI	voluntad	voluntad	NCFS000	SUST
2015	Felipe VI	de	de	SPS00	PREP
2015	Felipe VI	entendimiento	entendimiento	NCMS000	SUST
2015	Felipe VI	y	y	CC	CC
2015	Felipe VI	el	el	DA0MS0	DET
2015	Felipe VI	espíritu	espíritu	NCMS000	SUST
2015	Felipe VI	fraternal	fraternal	AQ0CS0	ADJ
2015	Felipe VI	,	,	Fc	PUNT
2015	Felipe VI	tan	tan	RG	ADV
2015	Felipe VI	propios	propio	AQ0MP0	ADJ
2015	Felipe VI	de	de	SPS00	PREP
2015	Felipe VI	estos	este	DD0MP0	DET
2015	Felipe VI	días	día	NCMP000	SUST
2015	Felipe VI	,	,	Fc	PUNT
2015	Felipe VI	estén	estar	VASP3P0	AUX
2015	Felipe VI	siempre	siempre	RG	ADV
2015	Felipe VI	muy	muy	RG	ADV
2015	Felipe VI	presentes	presente	AQ0CP0	ADJ
2015	Felipe VI	entre	entre	SPS00	PREP
2015	Felipe VI	nosotros	nosotros	PP1MP000	PRON
2015	Felipe VI	,	,	Fc	PUNT
