anno	rey	palabra	lema	eagle	universal
2000	Juan Carlos I	Queridos	querer	VMP00PM	VERB
2000	Juan Carlos I	compatriotas	compatriota	NCCP000	SUST
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	Que	que	CS	CS
2000	Juan Carlos I	mis	mi	DP1CPS	DET
2000	Juan Carlos I	primeras	1	AO0FP0	ADJ
2000	Juan Carlos I	palabras	palabra	NCFP000	SUST
2000	Juan Carlos I	en	en	SPS00	PREP
2000	Juan Carlos I	esta	este	DD0FS0	DET
2000	Juan Carlos I	noche	noche	NCFS000	SUST
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	en	en	SPS00	PREP
2000	Juan Carlos I	que	que	PR0CN000	PRON
2000	Juan Carlos I	nos	nos	PP1CP000	PRON
2000	Juan Carlos I	reunimos	reunir	VMIP1P0	VERB
2000	Juan Carlos I	para	para	SPS00	PREP
2000	Juan Carlos I	celebrar	celebrar	VMN0000	VERB
2000	Juan Carlos I	el	el	DA0MS0	DET
2000	Juan Carlos I	nacimiento	nacimiento	NCMS000	SUST
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	el	el	DA0MS0	DET
2000	Juan Carlos I	Hijo_de_Dios	hijo_de_dios	NP00O00	NPRO
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	sean	ser	VSSP3P0	AUX
2000	Juan Carlos I	para	para	SPS00	PREP
2000	Juan Carlos I	desear	desear	VMN0000	VERB
2000	Juan Carlos I	os	os	PP2CP000	PRON
2000	Juan Carlos I	de_todo_corazón	de_todo_corazón	RG	ADV
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	junto_con	junto_con	SPS00	PREP
2000	Juan Carlos I	toda	todo	DI0FS0	DET
2000	Juan Carlos I	mi	mi	DP1CSS	DET
2000	Juan Carlos I	Familia	familia	NP00SP0	NPRO
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	una	uno	DI0FS0	DET
2000	Juan Carlos I	Navidad	navidad	NCFS000	SUST
2000	Juan Carlos I	feliz	feliz	AQ0CS0	ADJ
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	alegre	alegre	AQ0CS0	ADJ
2000	Juan Carlos I	y	y	CC	CC
2000	Juan Carlos I	en	en	SPS00	PREP
2000	Juan Carlos I	paz	paz	NCFS000	SUST
2000	Juan Carlos I	.	.	Fp	PUNT
2000	Juan Carlos I	Hace	hacer	VMIP3S0	VERB
2000	Juan Carlos I	poco	poco	RG	ADV
2000	Juan Carlos I	más	más	RG	ADV
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	un	uno	DI0MS0	DET
2000	Juan Carlos I	mes	mes	NCMS000	SUST
2000	Juan Carlos I	se	se	P00CN000	PRON
2000	Juan Carlos I	han	haber	VAIP3P0	AUX
2000	Juan Carlos I	cumplido	cumplir	VMP00SM	VERB
2000	Juan Carlos I	veinticinco	25	Z	Z
2000	Juan Carlos I	años	año	NCMP000	SUST
2000	Juan Carlos I	desde	desde	SPS00	PREP
2000	Juan Carlos I	que	que	CS	CS
2000	Juan Carlos I	fui	ser	VSIS1S0	AUX
2000	Juan Carlos I	proclamado	proclamar	VMP00SM	VERB
2000	Juan Carlos I	Rey_de_España	rey_de_españa	NP00SP0	NPRO
2000	Juan Carlos I	.	.	Fp	PUNT
2000	Juan Carlos I	Con	con	SPS00	PREP
2000	Juan Carlos I	ese	ese	DD0MS0	DET
2000	Juan Carlos I	motivo	motivo	NCMS000	SUST
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	tuve	tener	VMIS1S0	VERB
2000	Juan Carlos I	ocasión	ocasión	NCFS000	SUST
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	trasladar	trasladar	VMN0000	VERB
2000	Juan Carlos I	os	os	PP2CP000	PRON
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	a_través_de	a_través_de	SPS00	PREP
2000	Juan Carlos I	las	el	DA0FP0	DET
2000	Juan Carlos I	Cortes	corte	NCMP000	SUST
2000	Juan Carlos I	y	y	CC	CC
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	los	el	DA0MP0	DET
2000	Juan Carlos I	medios	medio	NCMP000	SUST
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	comunicación	comunicación	NCFS000	SUST
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	algunas	alguno	DI0FP0	DET
2000	Juan Carlos I	reflexiones	reflexión	NCFP000	SUST
2000	Juan Carlos I	personales	personal	AQ0CP0	ADJ
2000	Juan Carlos I	sobre	sobre	SPS00	PREP
2000	Juan Carlos I	este	este	DD0MS0	DET
2000	Juan Carlos I	período	período	NCMS000	SUST
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	nuestra	nuestro	DP1FSP	DET
2000	Juan Carlos I	historia	historia	NCFS000	SUST
2000	Juan Carlos I	reciente	reciente	AQ0CS0	ADJ
2000	Juan Carlos I	.	.	Fp	PUNT
2000	Juan Carlos I	Os	os	PP2CP000	PRON
2000	Juan Carlos I	hablé	hablar	VMIS1S0	VERB
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	desde_luego	desde_luego	RG	ADV
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	mi	mi	DP1CSS	DET
2000	Juan Carlos I	profundo	profundo	AQ0MS0	ADJ
2000	Juan Carlos I	agradecimiento	agradecimiento	NCMS000	SUST
2000	Juan Carlos I	por	por	SPS00	PREP
2000	Juan Carlos I	el	el	DA0MS0	DET
2000	Juan Carlos I	apoyo	apoyo	NCMS000	SUST
2000	Juan Carlos I	constante	constante	AQ0CS0	ADJ
2000	Juan Carlos I	y	y	CC	CC
2000	Juan Carlos I	las	el	DA0FP0	DET
2000	Juan Carlos I	innumerables	innumerable	AQ0CP0	ADJ
2000	Juan Carlos I	muestras	muestra	NCFP000	SUST
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	afecto	afecto	NCMS000	SUST
2000	Juan Carlos I	que	que	PR0CN000	PRON
2000	Juan Carlos I	tanto	tanto	RG	ADV
2000	Juan Carlos I	mi	mi	DP1CSS	DET
2000	Juan Carlos I	Familia	familia	NP00SP0	NPRO
2000	Juan Carlos I	como	como	CS	CS
2000	Juan Carlos I	yo	yo	PP1CSN00	PRON
2000	Juan Carlos I	hemos	haber	VAIP1P0	AUX
2000	Juan Carlos I	recibido	recibir	VMP00SM	VERB
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	vosotros	vosotros	PP2MP000	PRON
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	auténticos	auténtico	AQ0MP0	ADJ
2000	Juan Carlos I	protagonistas	protagonista	NCCP000	SUST
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	estos	este	DD0MP0	DET
2000	Juan Carlos I	años	año	NCMP000	SUST
2000	Juan Carlos I	.	.	Fp	PUNT
2000	Juan Carlos I	Permitid	permitir	VMM02P0	VERB
2000	Juan Carlos I	me	me	PP1CS000	PRON
2000	Juan Carlos I	que	que	CS	CS
2000	Juan Carlos I	os	os	PP2CP000	PRON
2000	Juan Carlos I	reitere	reiterar	VMSP3S0	VERB
2000	Juan Carlos I	esta	este	DD0FS0	DET
2000	Juan Carlos I	noche	noche	NCFS000	SUST
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	con	con	SPS00	PREP
2000	Juan Carlos I	emoción	emoción	NCFS000	SUST
2000	Juan Carlos I	,	,	Fc	PUNT
2000	Juan Carlos I	mi	mi	DP1CSS	DET
2000	Juan Carlos I	reconocimiento	reconocimiento	NCMS000	SUST
2000	Juan Carlos I	agradecido	agradecer	VMP00SM	VERB
2000	Juan Carlos I	.	.	Fp	PUNT
2000	Juan Carlos I	Os	os	PP2CP000	PRON
2000	Juan Carlos I	hablé	hablar	VMIS1S0	VERB
2000	Juan Carlos I	también	también	RG	ADV
2000	Juan Carlos I	de	de	SPS00	PREP
2000	Juan Carlos I	mi	mi	DP1CSS	DET
