anno	rey	palabra	lema	eagle	universal
2016	Felipe VI	Buenas	bueno	AQ0FP0	ADJ
2016	Felipe VI	noches	noche	NCFP000	SUST
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	En	en	SPS00	PREP
2016	Felipe VI	estas	este	DD0FP0	DET
2016	Felipe VI	horas	hora	NCFP000	SUST
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	la	el	DA0FS0	DET
2016	Felipe VI	Navidad	navidad	NP00O00	NPRO
2016	Felipe VI	quiero	querer	VMIP1S0	VERB
2016	Felipe VI	desear	desear	VMN0000	VERB
2016	Felipe VI	os	os	PP2CP000	PRON
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	junto_a	junto_a	SPS00	PREP
2016	Felipe VI	la	el	DA0FS0	DET
2016	Felipe VI	Reina	reina	NP00SP0	NPRO
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	nuestras	nuestro	DP1FPP	DET
2016	Felipe VI	hijas	hijo	NCFP000	SUST
2016	Felipe VI	Leonor	leonor	NP00SP0	NPRO
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	Sofía	sofía	NP00SP0	NPRO
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	unas	uno	DI0FP0	DET
2016	Felipe VI	felices	feliz	AQ0CP0	ADJ
2016	Felipe VI	fiestas	fiesta	NCFP000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	nuestra	nuestro	DP1FSP	DET
2016	Felipe VI	esperanza	esperanza	NCFS000	SUST
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	que	que	CS	CS
2016	Felipe VI	el	el	DA0MS0	DET
2016	Felipe VI	2017	2017	Z	Z
2016	Felipe VI	sea	ser	VSSP1S0	AUX
2016	Felipe VI	un	uno	DI0MS0	DET
2016	Felipe VI	año	año	NCMS000	SUST
2016	Felipe VI	mejor	mejor	AQ0CS0	ADJ
2016	Felipe VI	para	para	SPS00	PREP
2016	Felipe VI	todos	todo	PI0MP000	PRON
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	Y	y	CC	CC
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	una	uno	DI0FS0	DET
2016	Felipe VI	noche	noche	NCFS000	SUST
2016	Felipe VI	como	como	CS	CS
2016	Felipe VI	la	el	DA0FS0	DET
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	hoy	hoy	RG	ADV
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	a	a	SPS00	PREP
2016	Felipe VI	tantas	tanto	DI0FP0	DET
2016	Felipe VI	familias	familia	NCFP000	SUST
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	han	haber	VAIP3P0	AUX
2016	Felipe VI	sufrido	sufrir	VMP00SM	VERB
2016	Felipe VI	las	el	DA0FP0	DET
2016	Felipe VI	recientes	reciente	AQ0CP0	ADJ
2016	Felipe VI	inundaciones	inundación	NCFP000	SUST
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	nuestro	nuestro	DP1MSP	DET
2016	Felipe VI	país	país	NCMS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	quiero	querer	VMIP1S0	VERB
2016	Felipe VI	decir	decir	VMN0000	VERB
2016	Felipe VI	les	le	PP3CPD00	PRON
2016	Felipe VI	especialmente	especialmente	RG	ADV
2016	Felipe VI	que	que	CS	CS
2016	Felipe VI	las	lo	PP3FPA00	PRON
2016	Felipe VI	tenemos	tener	VMIP1P0	VERB
2016	Felipe VI	muy	muy	RG	ADV
2016	Felipe VI	presentes	presente	AQ0CP0	ADJ
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	Navidad	navidad	NCFS000	SUST
2016	Felipe VI	es	ser	VSIP3S0	AUX
2016	Felipe VI	nacimiento	nacimiento	NCMS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	celebrar	celebrar	VMN0000	VERB
2016	Felipe VI	con	con	SPS00	PREP
2016	Felipe VI	alegría	alegría	NCFS000	SUST
2016	Felipe VI	lo	el	DA0NS0	DET
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	nace	nacer	VMIP3S0	VERB
2016	Felipe VI	es	ser	VSIP3S0	AUX
2016	Felipe VI	tener	tener	VMN0000	VERB
2016	Felipe VI	fe	fe	NCFS000	SUST
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	el	el	DA0MS0	DET
2016	Felipe VI	futuro	futuro	NCMS000	SUST
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	Es	ser	VSIP3S0	AUX
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	momentos	momento	NCMP000	SUST
2016	Felipe VI	como	como	CS	CS
2016	Felipe VI	estos	este	PD0MP000	PRON
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	cuando	cuando	CS	CS
2016	Felipe VI	los	el	DA0MP0	DET
2016	Felipe VI	sentimientos	sentimiento	NCMP000	SUST
2016	Felipe VI	personales	personal	AQ0CP0	ADJ
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	colectivos	colectivo	AQ0MP0	ADJ
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	afecto	afecto	NCMS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	amistad	amistad	NCFS000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	fraternidad	fraternidad	NCFS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	creados	crear	VMP00PM	VERB
2016	Felipe VI	a_través_de	a_través_de	SPS00	PREP
2016	Felipe VI	nuestra	nuestro	DP1FSP	DET
2016	Felipe VI	convivencia	convivencia	NCFS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	nos	nos	PP1CP000	PRON
2016	Felipe VI	recuerdan	recordar	VMIP3P0	VERB
2016	Felipe VI	el	el	DA0MS0	DET
2016	Felipe VI	gran	gran	AQ0CS0	ADJ
2016	Felipe VI	patrimonio	patrimonio	NCMS000	SUST
2016	Felipe VI	común	común	AQ0CS0	ADJ
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	compartimos	compartir	VMIP1P0	VERB
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	Un	uno	DI0MS0	DET
2016	Felipe VI	patrimonio	patrimonio	NCMS000	SUST
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	merece	merecer	VMIP3S0	VERB
2016	Felipe VI	el	el	DA0MS0	DET
2016	Felipe VI	cuidado	cuidado	NCMS000	SUST
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	todos	todo	PI0MP000	PRON
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	todos	todo	PI0MP000	PRON
2016	Felipe VI	debemos	deber	VMIP1P0	VERB
2016	Felipe VI	ayudar	ayudar	VMN0000	VERB
2016	Felipe VI	a	a	SPS00	PREP
2016	Felipe VI	proteger	proteger	VMN0000	VERB
2016	Felipe VI	como	como	CS	CS
2016	Felipe VI	lo	el	DA0NS0	DET
2016	Felipe VI	mejor	mejor	AQ0CS0	ADJ
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	tenemos	tener	VMIP1P0	VERB
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	somos	ser	VSIP1P0	AUX
2016	Felipe VI	;	;	Fx	PUNT
2016	Felipe VI	como	como	CS	CS
2016	Felipe VI	lo	el	DA0NS0	DET
2016	Felipe VI	mejor	mejor	AQ0CS0	ADJ
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	lo	el	DA0NS0	DET
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	nos	nos	PP1CP000	PRON
2016	Felipe VI	une	unir	VMIP3S0	VERB
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	Como	como	CS	CS
2016	Felipe VI	es	ser	VSIP3S0	AUX
2016	Felipe VI	tradición	tradición	NCFS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	permitid	permitir	VMM02P0	VERB
2016	Felipe VI	me	me	PP1CS000	PRON
2016	Felipe VI	esta	este	DD0FS0	DET
2016	Felipe VI	noche	noche	NCFS000	SUST
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	comparta	compartir	VMSP3S0	VERB
2016	Felipe VI	con	con	SPS00	PREP
2016	Felipe VI	vosotros	vosotros	PP2MP000	PRON
2016	Felipe VI	algunas	alguno	DI0FP0	DET
2016	Felipe VI	reflexiones	reflexión	NCFP000	SUST
2016	Felipe VI	sobre	sobre	SPS00	PREP
2016	Felipe VI	nuestro	nuestro	DP1MSP	DET
2016	Felipe VI	presente	presente	NCMS000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	sobre	sobre	SPS00	PREP
2016	Felipe VI	nuestro	nuestro	DP1MSP	DET
2016	Felipe VI	futuro	futuro	NCMS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	procurando	procurar	VMG0000	VERB
2016	Felipe VI	extraer	extraer	VMN0000	VERB
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	todo	todo	PI0MS000	PRON
2016	Felipe VI	lo	el	DA0NS0	DET
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	hemos	haber	VAIP1P0	AUX
2016	Felipe VI	vivido	vivir	VMP00SM	VERB
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	especialmente	especialmente	RG	ADV
2016	Felipe VI	durante	durante	SPS00	PREP
2016	Felipe VI	este	este	DD0MS0	DET
2016	Felipe VI	2016	2016	Z	Z
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	aquello	aquel	PD0NS000	PRON
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	mejor	mejor	RG	ADV
2016	Felipe VI	nos	nos	PP1CP000	PRON
2016	Felipe VI	ayude	ayudar	VMSP1S0	VERB
2016	Felipe VI	a	a	SPS00	PREP
2016	Felipe VI	seguir	seguir	VMN0000	VERB
2016	Felipe VI	adelante	adelante	RG	ADV
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	Siempre	siempre	RG	ADV
2016	Felipe VI	se	se	P00CN000	PRON
2016	Felipe VI	ha	haber	VAIP3S0	AUX
2016	Felipe VI	dicho	decir	VMP00SM	VERB
2016	Felipe VI	que	que	CS	CS
2016	Felipe VI	los	el	DA0MP0	DET
2016	Felipe VI	momentos	momento	NCMP000	SUST
2016	Felipe VI	más	más	RG	ADV
2016	Felipe VI	difíciles	difícil	AQ0CP0	ADJ
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	la	el	DA0FS0	DET
2016	Felipe VI	vida	vida	NCFS000	SUST
2016	Felipe VI	son	ser	VSIP3P0	AUX
2016	Felipe VI	las	el	DA0FP0	DET
2016	Felipe VI	mejores	mejor	AQ0CP0	ADJ
2016	Felipe VI	oportunidades	oportunidad	NCFP000	SUST
2016	Felipe VI	para	para	SPS00	PREP
2016	Felipe VI	descubrir	descubrir	VMN0000	VERB
2016	Felipe VI	nuestra	nuestro	DP1FSP	DET
2016	Felipe VI	fuerza	fuerza	NCFS000	SUST
2016	Felipe VI	interior	interior	AQ0CS0	ADJ
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	para	para	SPS00	PREP
2016	Felipe VI	comprobar	comprobar	VMN0000	VERB
2016	Felipe VI	nuestro	nuestro	DP1MSP	DET
2016	Felipe VI	carácter	carácter	NCMS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	nuestra	nuestro	DP1FSP	DET
2016	Felipe VI	verdadera	verdadero	AQ0FS0	ADJ
2016	Felipe VI	dimensión	dimensión	NCFS000	SUST
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	A	a	SPS00	PREP
2016	Felipe VI	lo	lo	PP3CNA00	PRON
2016	Felipe VI	largo	largo	AQ0MS0	ADJ
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	este	este	DD0MS0	DET
2016	Felipe VI	año	año	NCMS000	SUST
2016	Felipe VI	he	haber	VAIP1S0	AUX
2016	Felipe VI	estado	estar	VAP00SM	AUX
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	diferentes	diferente	AQ0CP0	ADJ
2016	Felipe VI	lugares	lugar	NCMP000	SUST
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	nuestra	nuestro	DP1FSP	DET
2016	Felipe VI	geografía	geografía	NCFS000	SUST
2016	Felipe VI	nacional	nacional	AQ0CS0	ADJ
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	Y	y	CC	CC
2016	Felipe VI	tengo	tener	VMIP1S0	VERB
2016	Felipe VI	que	que	CS	CS
2016	Felipe VI	decir	decir	VMN0000	VERB
2016	Felipe VI	os	os	PP2CP000	PRON
2016	Felipe VI	que	que	CS	CS
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	todo	todo	DI0MS0	DET
2016	Felipe VI	ese	ese	DD0MS0	DET
2016	Felipe VI	recorrido	recorrido	NCMS000	SUST
2016	Felipe VI	por	por	SPS00	PREP
2016	Felipe VI	nuestros	nuestro	DP1MPP	DET
2016	Felipe VI	pueblos	pueblo	NCMP000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	ciudades	ciudad	NCFP000	SUST
2016	Felipe VI	he	haber	VAIP1S0	AUX
2016	Felipe VI	visto	ver	VMP00SM	VERB
2016	Felipe VI	dificultades	dificultad	NCFP000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	problemas	problema	NCMP000	SUST
2016	Felipe VI	para	para	SPS00	PREP
2016	Felipe VI	muchos	mucho	PI0MP000	PRON
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	nuestros	nuestro	DP1MPP	DET
2016	Felipe VI	compatriotas	compatriota	NCCP000	SUST
2016	Felipe VI	;	;	Fx	PUNT
2016	Felipe VI	pero	pero	CC	CC
2016	Felipe VI	también	también	RG	ADV
2016	Felipe VI	trabajo	trabajo	NCMS000	SUST
2016	Felipe VI	duro	duro	AQ0MS0	ADJ
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	honesto	honesto	AQ0MS0	ADJ
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	sacrificado	sacrificar	VMP00SM	VERB
2016	Felipe VI	;	;	Fx	PUNT
2016	Felipe VI	mucha	mucho	DI0FS0	DET
2016	Felipe VI	capacidad	capacidad	NCFS000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	talento	talento	NCMS000	SUST
2016	Felipe VI	;	;	Fx	PUNT
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	sobre	sobre	SPS00	PREP
2016	Felipe VI	todo	todo	PI0MS000	PRON
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	determinación	determinación	NCFS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	ganas	gana	NCFP000	SUST
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	salir	salir	VMN0000	VERB
2016	Felipe VI	adelante	adelante	RG	ADV
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	He	haber	VAIP1S0	AUX
2016	Felipe VI	comprobado	comprobar	VMP00SM	VERB
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	una	uno	DI0FS0	DET
2016	Felipe VI	vez	vez	NCFS000	SUST
2016	Felipe VI	más	más	RG	ADV
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	el	el	DA0MS0	DET
2016	Felipe VI	valor	valor	NCMS000	SUST
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	tiene	tener	VMIP3S0	VERB
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	nuestra	nuestro	DP1FSP	DET
2016	Felipe VI	sociedad	sociedad	NCFS000	SUST
2016	Felipe VI	la	el	DA0FS0	DET
2016	Felipe VI	familia	familia	NCFS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	porque	porque	CS	CS
2016	Felipe VI	su	su	DP3CS0	DET
2016	Felipe VI	ayuda	ayuda	NCFS000	SUST
2016	Felipe VI	ha	haber	VAIP3S0	AUX
2016	Felipe VI	permitido	permitir	VMP00SM	VERB
2016	Felipe VI	a	a	SPS00	PREP
2016	Felipe VI	muchos	mucho	PI0MP000	PRON
2016	Felipe VI	sobrellevar	sobrellevar	VMN0000	VERB
2016	Felipe VI	los	el	DA0MP0	DET
2016	Felipe VI	peores	peor	AQ0CP0	ADJ
2016	Felipe VI	momentos	momento	NCMP000	SUST
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	He	haber	VAIP1S0	AUX
2016	Felipe VI	conocido	conocer	VMP00SM	VERB
2016	Felipe VI	a	a	SPS00	PREP
2016	Felipe VI	trabajadores	trabajador	NCMP000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	profesionales	profesional	NCCP000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	hombres	hombre	NCMP000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	mujeres	mujer	NCFP000	SUST
2016	Felipe VI	que	que	PR0CN000	PRON
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	con	con	SPS00	PREP
2016	Felipe VI	su	su	DP3CS0	DET
2016	Felipe VI	esfuerzo	esfuerzo	NCMS000	SUST
2016	Felipe VI	sereno	sereno	AQ0MS0	ADJ
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	durante	durante	SPS00	PREP
2016	Felipe VI	estos	este	DD0MP0	DET
2016	Felipe VI	largos	largo	AQ0MP0	ADJ
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	difíciles	difícil	AQ0CP0	ADJ
2016	Felipe VI	años	año	NCMP000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	sin	sin	SPS00	PREP
2016	Felipe VI	desfallecer	desfallecer	VMN0000	VERB
2016	Felipe VI	ni	ni	CC	CC
2016	Felipe VI	resignar	resignar	VMN0000	VERB
2016	Felipe VI	se	se	PP3CN000	PRON
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	sostienen	sostener	VMIP3P0	VERB
2016	Felipe VI	con	con	SPS00	PREP
2016	Felipe VI	gran	gran	AQ0CS0	ADJ
2016	Felipe VI	dignidad	dignidad	NCFS000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	coraje	coraje	NCMS000	SUST
2016	Felipe VI	a	a	SPS00	PREP
2016	Felipe VI	sus	su	DP3CP0	DET
2016	Felipe VI	familias	familia	NCFP000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	sus	su	DP3CP0	DET
2016	Felipe VI	vidas	vida	NCFP000	SUST
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	sus	su	DP3CP0	DET
2016	Felipe VI	trabajos	trabajo	NCMP000	SUST
2016	Felipe VI	.	.	Fp	PUNT
2016	Felipe VI	He	haber	VAIP1S0	AUX
2016	Felipe VI	visto	ver	VMP00SM	VERB
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	también	también	RG	ADV
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	en	en	SPS00	PREP
2016	Felipe VI	muchos	mucho	DI0MP0	DET
2016	Felipe VI	compatriotas	compatriota	NCCP000	SUST
2016	Felipe VI	la	el	DA0FS0	DET
2016	Felipe VI	decisión	decisión	NCFS000	SUST
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	asumir	asumir	VMN0000	VERB
2016	Felipe VI	riesgos	riesgo	NCMP000	SUST
2016	Felipe VI	para	para	SPS00	PREP
2016	Felipe VI	crear	crear	VMN0000	VERB
2016	Felipe VI	o	o	CC	CC
2016	Felipe VI	defender	defender	VMN0000	VERB
2016	Felipe VI	puestos	puesto	NCMP000	SUST
2016	Felipe VI	de	de	SPS00	PREP
2016	Felipe VI	trabajo	trabajo	NCMS000	SUST
2016	Felipe VI	,	,	Fc	PUNT
2016	Felipe VI	y	y	CC	CC
2016	Felipe VI	el	el	DA0MS0	DET
2016	Felipe VI	valor	valor	NCMS000	SUST
