anno	rey	palabra	lema	eagle	universal
2014	Felipe VI	Buenas	bueno	AQ0FP0	ADJ
2014	Felipe VI	noches	noche	NCFP000	SUST
2014	Felipe VI	.	.	Fp	PUNT
2014	Felipe VI	Quiero	querer	VMIP1S0	VERB
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	en	en	SPS00	PREP
2014	Felipe VI	primer	1	AO0MS0	ADJ
2014	Felipe VI	lugar	lugar	NCMS000	SUST
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	dar	dar	VMN0000	VERB
2014	Felipe VI	os	os	PP2CP000	PRON
2014	Felipe VI	las	el	DA0FP0	DET
2014	Felipe VI	gracias	gracia	NCFP000	SUST
2014	Felipe VI	por	por	SPS00	PREP
2014	Felipe VI	abrir	abrir	VMN0000	VERB
2014	Felipe VI	me	me	PP1CS000	PRON
2014	Felipe VI	vuestras	vuestro	DP2FPP	DET
2014	Felipe VI	casas	casa	NCFP000	SUST
2014	Felipe VI	en	en	SPS00	PREP
2014	Felipe VI	esta	este	DD0FS0	DET
2014	Felipe VI	Nochebuena	nochebuena	NP00G00	NPRO
2014	Felipe VI	.	.	Fp	PUNT
2014	Felipe VI	Un	uno	DI0MS0	DET
2014	Felipe VI	momento	momento	NCMS000	SUST
2014	Felipe VI	que	que	PR0CN000	PRON
2014	Felipe VI	es	ser	VSIP3S0	AUX
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	sobre	sobre	SPS00	PREP
2014	Felipe VI	todo	todo	PI0MS000	PRON
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	de	de	SPS00	PREP
2014	Felipe VI	cercanía	cercanía	NCFS000	SUST
2014	Felipe VI	y	y	CC	CC
2014	Felipe VI	de	de	SPS00	PREP
2014	Felipe VI	reencuentro	reencuentro	NCMS000	SUST
2014	Felipe VI	;	;	Fx	PUNT
2014	Felipe VI	un	uno	DI0MS0	DET
2014	Felipe VI	momento	momento	NCMS000	SUST
2014	Felipe VI	para	para	SPS00	PREP
2014	Felipe VI	aproximar	aproximar	VMN0000	VERB
2014	Felipe VI	nos	nos	PP1CP000	PRON
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	para	para	SPS00	PREP
2014	Felipe VI	mirar	mirar	VMN0000	VERB
2014	Felipe VI	nos	nos	PP1CP000	PRON
2014	Felipe VI	con	con	SPS00	PREP
2014	Felipe VI	la	el	DA0FS0	DET
2014	Felipe VI	voluntad	voluntad	NCFS000	SUST
2014	Felipe VI	y	y	CC	CC
2014	Felipe VI	el	el	DA0MS0	DET
2014	Felipe VI	deseo	deseo	NCMS000	SUST
2014	Felipe VI	de	de	SPS00	PREP
2014	Felipe VI	entender	entender	VMN0000	VERB
2014	Felipe VI	nos	nos	PP1CP000	PRON
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	para	para	SPS00	PREP
2014	Felipe VI	transmitir	transmitir	VMN0000	VERB
2014	Felipe VI	a	a	SPS00	PREP
2014	Felipe VI	las	el	DA0FP0	DET
2014	Felipe VI	personas	persona	NCFP000	SUST
2014	Felipe VI	que	que	PR0CN000	PRON
2014	Felipe VI	nos	nos	PP1CP000	PRON
2014	Felipe VI	rodean	rodear	VMIP3P0	VERB
2014	Felipe VI	nuestros	nuestro	DP1MPP	DET
2014	Felipe VI	mejores	mejor	AQ0CP0	ADJ
2014	Felipe VI	sentimientos	sentimiento	NCMP000	SUST
2014	Felipe VI	de	de	SPS00	PREP
2014	Felipe VI	afecto	afecto	NCMS000	SUST
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	de	de	SPS00	PREP
2014	Felipe VI	paz	paz	NCFS000	SUST
2014	Felipe VI	y	y	CC	CC
2014	Felipe VI	de	de	SPS00	PREP
2014	Felipe VI	alegría	alegría	NCFS000	SUST
2014	Felipe VI	.	.	Fp	PUNT
2014	Felipe VI	Hoy	hoy	RG	ADV
2014	Felipe VI	quiero	querer	VMIP1S0	VERB
2014	Felipe VI	estar	estar	VAN0000	AUX
2014	Felipe VI	a	a	SPS00	PREP
2014	Felipe VI	vuestro	vuestro	DP2MSP	DET
2014	Felipe VI	lado	lado	NCMS000	SUST
2014	Felipe VI	para	para	SPS00	PREP
2014	Felipe VI	compartir	compartir	VMN0000	VERB
2014	Felipe VI	en	en	SPS00	PREP
2014	Felipe VI	el	el	DA0MS0	DET
2014	Felipe VI	primer	1	AO0MS0	ADJ
2014	Felipe VI	mensaje	mensaje	NCMS000	SUST
2014	Felipe VI	de	de	SPS00	PREP
2014	Felipe VI	Navidad	navidad	NP00V00	NPRO
2014	Felipe VI	que	que	PR0CN000	PRON
2014	Felipe VI	os	os	PP2CP000	PRON
2014	Felipe VI	dirijo	dirigir	VMIP1S0	VERB
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	unas	uno	DI0FP0	DET
2014	Felipe VI	reflexiones	reflexión	NCFP000	SUST
2014	Felipe VI	sobre	sobre	SPS00	PREP
2014	Felipe VI	nuestro	nuestro	DP1MSP	DET
2014	Felipe VI	futuro	futuro	NCMS000	SUST
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	con	con	SPS00	PREP
2014	Felipe VI	la	el	DA0FS0	DET
2014	Felipe VI	mirada	mirada	NCFS000	SUST
2014	Felipe VI	puesta	poner	VMP00SF	VERB
2014	Felipe VI	,	,	Fc	PUNT
2014	Felipe VI	con	con	SPS00	PREP
2014	Felipe VI	confianza	confianza	NCFS000	SUST
2014	Felipe VI	en	en	SPS00	PREP
2014	Felipe VI	el	el	DA0MS0	DET
2014	Felipe VI	año	año	NCMS000	SUST
2014	Felipe VI	2015	2015	Z	Z
