anno	rey	palabra	lema	eagle	universal
1995	Juan Carlos I	En	en	SPS00	PREP
1995	Juan Carlos I	esta	este	DD0FS0	DET
1995	Juan Carlos I	gran	gran	AQ0CS0	ADJ
1995	Juan Carlos I	noche	noche	NCFS000	SUST
1995	Juan Carlos I	de	de	SPS00	PREP
1995	Juan Carlos I	familia	familia	NCFS000	SUST
1995	Juan Carlos I	,	,	Fc	PUNT
1995	Juan Carlos I	permitid	permitir	VMM02P0	VERB
1995	Juan Carlos I	me	me	PP1CS000	PRON
1995	Juan Carlos I	,	,	Fc	PUNT
1995	Juan Carlos I	antes_que_nada	antes_que_nada	RG	ADV
1995	Juan Carlos I	,	,	Fc	PUNT
1995	Juan Carlos I	que	que	CS	CS
1995	Juan Carlos I	en	en	SPS00	PREP
1995	Juan Carlos I	mi	mi	DP1CSS	DET
1995	Juan Carlos I	nombre	nombre	NCMS000	SUST
1995	Juan Carlos I	,	,	Fc	PUNT
1995	Juan Carlos I	en	en	SPS00	PREP
1995	Juan Carlos I	el	el	DA0MS0	DET
1995	Juan Carlos I	de	de	SPS00	PREP
1995	Juan Carlos I	la	el	DA0FS0	DET
1995	Juan Carlos I	Reina	reina	NP00SP0	NPRO
1995	Juan Carlos I	y	y	CC	CC
1995	Juan Carlos I	en	en	SPS00	PREP
1995	Juan Carlos I	el	el	DA0MS0	DET
1995	Juan Carlos I	de	de	SPS00	PREP
1995	Juan Carlos I	nuestros	nuestro	DP1MPP	DET
1995	Juan Carlos I	hijos	hijo	NCMP000	SUST
1995	Juan Carlos I	,	,	Fc	PUNT
1995	Juan Carlos I	os	os	PP2CP000	PRON
1995	Juan Carlos I	envíe	enviar	VMSP3S0	VERB
1995	Juan Carlos I	a	a	SPS00	PREP
1995	Juan Carlos I	todos	todo	DI0MP0	DET
1995	Juan Carlos I	mis	mi	DP1CPS	DET
1995	Juan Carlos I	deseos	deseo	NCMP000	SUST
1995	Juan Carlos I	más	más	RG	ADV
1995	Juan Carlos I	fervientes	ferviente	AQ0CP0	ADJ
1995	Juan Carlos I	de	de	SPS00	PREP
1995	Juan Carlos I	paz	paz	NCFS000	SUST
1995	Juan Carlos I	y	y	CC	CC
1995	Juan Carlos I	felicidad	felicidad	NCFS000	SUST
1995	Juan Carlos I	.	.	Fp	PUNT
1995	Juan Carlos I	Hace	hacer	VMIP3S0	VERB
1995	Juan Carlos I	pocas	poco	DI0FP0	DET
1995	Juan Carlos I	semanas	semana	NCFP000	SUST
1995	Juan Carlos I	hemos	haber	VAIP1P0	AUX
1995	Juan Carlos I	tenido	tener	VMP00SM	VERB
1995	Juan Carlos I	ocasión	ocasión	NCFS000	SUST
1995	Juan Carlos I	de	de	SPS00	PREP
1995	Juan Carlos I	conmemorar	conmemorar	VMN0000	VERB
1995	Juan Carlos I	los	el	DA0MP0	DET
1995	Juan Carlos I	veinte	20	Z	Z
1995	Juan Carlos I	años	año	NCMP000	SUST
1995	Juan Carlos I	de	de	SPS00	PREP
1995	Juan Carlos I	reinado	reinado	NCMS000	SUST
1995	Juan Carlos I	.	.	Fp	PUNT
1995	Juan Carlos I	Os	os	PP2CP000	PRON
1995	Juan Carlos I	aseguro	asegurar	VMIP1S0	VERB
1995	Juan Carlos I	que	que	CS	CS
1995	Juan Carlos I	la	el	DA0FS0	DET
1995	Juan Carlos I	mayor	mayor	AQ0CS0	ADJ
1995	Juan Carlos I	satisfacción	satisfacción	NCFS000	SUST
1995	Juan Carlos I	que	que	PR0CN000	PRON
1995	Juan Carlos I	me	me	PP1CS000	PRON
1995	Juan Carlos I	cabe	caber	VMIP3S0	VERB
1995	Juan Carlos I	a	a	SPS00	PREP
1995	Juan Carlos I	el	el	DA0MS0	DET
1995	Juan Carlos I	echar	echar	VMN0000	VERB
1995	Juan Carlos I	la	el	DA0FS0	DET
1995	Juan Carlos I	vista	vista	NCFS000	SUST
1995	Juan Carlos I	atrás	atrás	RG	ADV
1995	Juan Carlos I	es	ser	VSIP3S0	AUX
1995	Juan Carlos I	justamente	justamente	RG	ADV
1995	Juan Carlos I	la	el	DA0FS0	DET
1995	Juan Carlos I	de	de	SPS00	PREP
1995	Juan Carlos I	que	que	CS	CS
1995	Juan Carlos I	el	el	DA0MS0	DET
